DATE,°­¼ö·®,ÃÖ°íÇ³¼Ó,Æò±ÕÇ³¼Ó,ÃÖ¼Ò»ó´ë½Àµµ,Æò±Õ»ó´ë½Àµµ,Æò±Õ±â¾Ð,Æò±Õ±â¿Â,ÃÖÀú±â¿Â,Æø¿°¹ß»ý¿©ºÎ
1991-05-01,0,9.3,5.3,43,56.5,993.1,11.1,8,0
1991-05-02,0,7,4.2,33,49,998.8,11.6,7.6,0
1991-05-03,0,8.5,3.2,22,41.5,1008.6,13.2,7.6,0
1991-05-04,0,6.7,2.9,26,51.3,1011.4,13.6,7.4,0
1991-05-05,0,6.3,1.7,21,41,1009.9,16.1,7.5,0
1991-05-06,7.9,5.7,2.3,28,57.8,1005.3,14.1,11.7,0
1991-05-07,2.6,6.3,2.4,61,81,1003,14.4,12.2,0
1991-05-08,2.1,7.3,3.4,47,73.3,1002.9,14.2,11.2,0
1991-05-09,0,7,3,25,55,1003.3,17,12.4,0
1991-05-10,0,9,3.4,45,55.8,1005.1,18.1,13.9,0
1991-05-11,0,6.7,2.8,34,58,1007.2,18,12,0
1991-05-12,0,8.3,3.2,41,62.8,1004.5,17,13,0
1991-05-13,0,5.5,2.3,46,67.5,1006.2,17.1,13.1,0
1991-05-14,0,5.7,2.2,22,53.5,1005.1,19.1,11.1,0
1991-05-15,0,8.3,3.3,41,58.5,998.1,18.3,12,0
1991-05-16,0.1,7,3.6,59,76.3,994.5,13.8,11.2,0
1991-05-17,0,10.2,3.7,29,56.5,996.9,16.4,11.1,0
1991-05-18,0,9,3.8,51,59.5,998.2,18.3,11.6,0
1991-05-19,0,6,1.9,51,70.8,1000.6,21,16.3,0
1991-05-20,0,4.7,2,21,44,1003.4,23.6,17.3,0
1991-05-21,0,5.3,2.2,28,48.5,999.5,23.1,16.3,0
1991-05-22,0,5.8,2.3,32,56.5,996.3,22.3,16,0
1991-05-23,0,5,2.8,24,37.3,998.9,25.5,20.4,0
1991-05-24,4,3.7,2.2,40,69.3,997.1,21,19.3,0
1991-05-25,26.6,8.5,4.2,70,90,997.3,16.7,12.1,0
1991-05-26,39.9,7,4.5,72,92,996.9,12.8,12,0
1991-05-27,0,5.3,2.7,44,55.5,1004.6,16.9,12.8,0
1991-05-28,0,7,2.3,29,44,1006.3,19,14.6,0
1991-05-29,0,5.3,2.2,31,54.8,1006.2,19.4,13.5,0
1991-05-30,0,3.8,1.7,33,60.3,1005.2,19.9,15,0
1991-05-31,0,6.7,2.4,47,64.8,1001.6,20.5,14.7,0
1991-06-01,0,5.7,2.8,49,62.8,1000.1,19.6,17.2,0
1991-06-02,2.7,4,1.2,42,66,996.8,21.4,15.2,0
1991-06-03,0.6,4.7,2,66,76.3,995.9,20.4,17.1,0
1991-06-04,0,5.7,2.8,60,74.8,1000.1,20.1,16.3,0
1991-06-05,0,5.5,2.6,52,73.3,1001.1,20.8,16.3,0
1991-06-06,0,6.3,2.3,27,57.8,1000.1,22.3,16.2,0
1991-06-07,0,5.2,1.7,37,49,1002,23.8,16.7,0
1991-06-08,0,7,2.2,31,55.8,1002.3,24.6,19.1,0
1991-06-09,7.3,3.2,1.4,67,83.5,999.6,22.1,20.3,0
1991-06-10,0,4.3,2.3,69,84.3,1000.9,22.3,18.5,0
1991-06-11,26.6,10.7,4,83,91,993.2,22.2,20.1,0
1991-06-12,2.4,9.3,5.3,63,79.3,991.5,21.2,17.9,0
1991-06-13,0,6.7,3.1,54,74.8,996,21,16.8,0
1991-06-14,0,6,1.9,40,61.5,996.8,23.5,17,0
1991-06-15,0,4.2,1.6,42,57.3,993.3,25.2,19.2,0
1991-06-16,0,6,2.2,43,62.3,994.2,24.4,20.8,0
1991-06-17,0,4.8,2.4,41,66.8,994.4,21.8,18.4,0
1991-06-18,0,4.8,1.3,32,42.3,995.2,22.7,16.7,0
1991-06-19,0,6.2,1.9,25,45.5,994.8,22.6,16.9,0
1991-06-20,0.7,4.5,2.3,58,73,994.6,21.4,18.5,0
1991-06-21,0,5.7,2.7,32,70.5,995.7,21.7,16.3,0
1991-06-22,0,6,2.3,49,75.3,993.1,22.6,18.5,0
1991-06-23,7,6,1.9,48,79.3,991.4,21.8,18.7,0
1991-06-24,0,5.8,2.1,50,73.5,995.8,22.7,18.8,0
1991-06-25,0,5.8,1.6,49,65,1000.4,24.8,20.6,0
1991-06-26,0.3,5,2.5,60,78.5,1001.2,23.1,21.2,0
1991-06-27,0,7.8,3.6,56,75.5,999.5,23.8,20.9,0
1991-06-28,0,6.3,2.7,53,75,996.9,25.7,22.3,0
1991-06-29,34.2,6.2,3,79,89,992,23.6,19.5,0
1991-06-30,0,5.2,1.7,57,78.8,993.4,23.7,18,0
1991-07-01,17.7,4.3,1.8,81,90,992.2,22.9,20.5,0
1991-07-02,0,3.8,1.6,56,78.8,994.7,24,18.7,0
1991-07-03,0,5.3,1.9,45,74,996.4,25.2,21,0
1991-07-04,1.7,5.7,1.8,52,72.8,991.7,26.2,23,0
1991-07-05,0,5.5,2.4,50,71,993.4,25.7,22.5,0
1991-07-06,0,4.7,1.9,53,75.5,996.7,24.9,21.4,0
1991-07-07,44,7,2.3,68,84.8,989.7,22,18.8,0
1991-07-08,0,3.3,1.1,66,80.8,996.4,21.8,18,0
1991-07-09,0.2,3.3,1.1,70,84,996,22.1,19.4,0
1991-07-10,0,6,2.4,62,79.8,996.2,23.3,20.3,0
1991-07-11,0,3.3,1.1,67,80.3,998.3,22.6,20.1,0
1991-07-12,0,6,1.4,49,72.3,995.7,24,19.2,0
1991-07-13,0,6.5,2.3,60,73,1000.1,24.5,20.4,0
1991-07-14,0,4.8,2.1,60,74.3,1000.7,25.2,21.8,0
1991-07-15,42.2,3.7,1.2,83,94.3,997,23.1,21.6,0
1991-07-16,12.7,5.7,2.9,71,88.8,996,23.4,21.5,0
1991-07-17,1.7,3.7,1.5,72,89.8,996.9,24.5,21.7,0
1991-07-18,1,4,1.8,63,81,998.8,25.7,22.6,0
1991-07-19,66.7,10.3,4.2,80,92.8,999,24.3,22.5,0
1991-07-20,49,8.3,2.5,79,91.8,999.8,24.6,20.9,0
